Bandwidth,Final balance,Reward Earned,Reward Cost,Gas Cost
124.2205330410234,999999481.25,181.25,700,0
178.40517447627047,1000000585.25,37.5,900,21
93.2405516085699,999999736.75,43.75,300,7
145.16386563939957,1000000654.75,18.75,600,14
104.38543153325438,999999293.75,293.75,1000,0
255.31210305152416,1000000865.75,112.5,1200,28
283.6460162496597,999999512.5,112.5,600,0
27.94378673887381,999999293.75,93.75,800,0
89.91462529012354,999999918.0,25.0,100,7
183.010161172512,999999999.25,506.25,500,7
117.38339603950119,999999872.75,56.25,600,21
162.53155007789385,1000000159.5,6.25,300,28
16.085249327746315,999999568.0,75.0,500,7
186.87017440141224,999999672.0,87.5,900,28
142.7756390290144,999999636.0,50.0,400,14
84.97210779803567,1000000122.75,187.5,500,21
187.15399660835965,999999959.5,62.5,500,28
123.81489262640191,999999418.0,125.0,700,7
210.00123253934228,999999224.25,131.25,900,7
182.7089781014034,999999481.25,81.25,600,0
288.438555517806,999999635.25,56.25,400,21
120.16996987632369,999999872.75,93.75,200,21
157.22018473520907,999999442.25,156.25,700,14
231.49812789260818,999999718.0,25.0,300,7
252.4091143946073,999999572.75,193.75,600,21
126.96195031130041,999999974.25,25.0,300,7
212.81454733863407,999999855.5,87.5,600,7
277.4823163165897,999999479.75,93.75,600,14
210.86489198264454,999999742.25,56.25,300,14
71.84644227739983,1000000110.25,12.5,300,21
41.549061046906026,999999665.75,93.75,400,28
21.215727372947995,999999635.25,56.25,400,21
110.05830028726048,999998743.75,243.75,1500,0
66.6224274062234,999999692.25,106.25,400,14
103.79600445425613,999999725.0,125.0,400,0
66.55102092926539,999999636.75,43.75,400,7
266.53256844085877,999999487.5,287.5,800,0
36.09422390769126,999999781.25,81.25,300,0
193.35620700517075,999999422.0,50.0,600,28
73.54987873345087,999999811.75,18.75,200,7
213.37534550407472,999999448.5,62.5,600,14
176.8740744016221,999999166.5,487.5,1300,21
27.172116227417952,999999541.5,62.5,500,21
86.39524228255002,999999804.75,18.75,200,14
250.78364523527776,999999618.0,125.0,500,7
45.582523751395236,999999586.0,100.0,500,14
150.52640057995552,999999818.0,125.0,300,7
254.05671802923203,999999653.25,81.25,400,28
159.00250496011444,999999374.25,81.25,700,7
201.04500555124122,999999485.25,106.25,600,21
162.70259072832573,999999097.75,118.75,1000,21
156.0247388022394,999999606.25,306.25,700,0
14.191177552350622,999999841.5,62.5,200,21
179.89125936867515,999999661.75,268.75,600,7
236.16712315604093,999999660.25,81.25,400,21
201.63150403500455,999999804.75,118.75,300,14
240.43740793482826,999999793.0,100.0,300,7
38.82990750730176,999999680.5,187.5,500,7
9.00932147219452,999999580.5,87.5,500,7
125.11522898941803,999999468.0,75.0,600,7
128.0933531073292,999999536.0,50.0,500,14
246.20717469061563,999999993,0,0,7
160.3029461170153,999999929.75,143.75,200,14
113.02007305100469,999999886.75,193.75,300,7
76.26624420108031,999999792.25,206.25,400,14
196.03137673846945,999999818.75,118.75,300,0
9.517038071014767,999999634.5,62.5,400,28
154.50487862369698,999998829.75,143.75,1300,14
104.46624969938661,999999624.25,131.25,500,7
40.470129797633426,999999616.5,37.5,400,21
28.530486934327918,999999641.5,62.5,400,21
220.8506719516036,999999723.5,37.5,300,14
267.1798587547414,999999497.75,81.25,800,21
45.03649140638884,999999791.5,12.5,200,21
89.58241605295005,999999723.5,37.5,300,14
271.8492228476538,999999618.0,125.0,500,7
31.119553381741405,999999774.25,81.25,300,7
168.03636151723288,999999825.0,25.0,200,0
252.12855554027107,999999367.25,381.25,1000,14
111.94053489553775,999999880.5,87.5,200,7
73.51810559066361,999999624.25,331.25,700,7
269.7795453724763,999999823.5,237.5,400,14
35.719520875131096,999999553.25,81.25,500,28
237.03791521061544,999999097.75,118.75,1000,21
92.2588509704976,999999943.0,50.0,100,7
196.7305052567669,999998679.75,593.75,1900,14
200.98604429965602,999999815.75,43.75,200,28
92.66343071593437,999999684.5,112.5,400,28
215.19096569330475,999999631.25,231.25,600,0
282.59731248277075,999999011.0,125.0,1100,14
199.25768249709836,999999536.75,243.75,700,7
251.91075853145756,999999559.5,87.5,500,28
85.97653767391044,999999629.75,243.75,600,14
273.5509607368604,999999556.25,56.25,500,0
283.80049694586313,999999710.25,31.25,300,21
150.97552988980257,999999822.75,43.75,200,21
297.0542928716799,999999711.0,25.0,300,14
67.32953406476942,999999397.75,118.75,700,21
237.68648556026795,999999534.5,62.5,500,28
282.91813182610247,999999597.75,318.75,700,21
